Source,Target,Weight
90,9982,1
90,9983,1
90,10472,2
90,10859,1
90,10935,3
90,10988,2
90,11182,4
90,12159,3
90,12164,1
90,12281,1
90,16401,1
90,16840,2
90,16975,1
90,17430,2
90,18736,1
90,19277,5
90,19717,2
90,23336,2
90,23338,2
90,23964,5
90,24140,5
98,105,16
98,125,5
98,222,9
98,226,13
98,241,13
98,249,15
98,251,4
98,301,1
98,302,1
98,305,9
98,355,29
98,401,16
98,407,7
98,417,8
98,419,5
98,421,8
98,422,4
98,459,18
98,493,1
98,500,10
98,539,2
98,561,8
98,569,10
98,610,6
98,628,7
98,639,2
98,671,16
98,689,4
98,692,4
98,697,4
98,698,7
98,712,108
98,713,10
98,715,48
98,719,11
98,758,3
98,857,2
98,874,3
98,879,3
98,957,15
98,1078,4
98,1079,5
98,1082,6
98,1083,4
98,1086,11
98,1170,26
98,1171,26
98,1238,1
98,1243,17
98,1246,7
98,1247,7
98,1405,1
98,1433,7
98,1437,1
98,1467,10
98,1503,16
98,1504,17
98,1505,3
98,1548,26
98,1576,4
98,1583,2
98,1584,2
98,1590,2
98,1601,1
98,1604,1
98,1643,8
98,1644,10
98,1645,1
98,1646,32
98,1664,10
98,1670,4
98,1722,15
98,1729,1
98,1754,2
98,1760,4
98,1761,8
98,1770,3
98,1795,1
98,1798,3
98,1849,5
98,1851,4
98,1881,2
98,1885,22
98,1946,1
98,1998,26
98,2042,3
98,2052,3
98,2072,6
98,2074,6
98,2075,5
98,2112,10
98,2117,9
98,2119,2
98,2152,10
98,2249,11
98,2251,11
98,2262,3
98,2339,10
98,2360,13
98,2410,23
98,2413,3
98,2494,4
98,2637,8
98,2642,3
98,2652,108
98,2668,3
98,2670,3
98,2735,6
98,2821,4
98,2976,4
98,3137,13
98,3149,4
98,3152,4
98,3155,3
98,3161,7
98,3193,3
98,3266,1
98,3274,10
98,3304,6
98,3349,18
98,3394,3
98,3491,4
98,3533,4
98,3676,7
98,3815,5
98,3914,11
98,3915,11
98,3916,11
98,3917,11
98,3918,11
98,3919,5
98,3920,5
98,3921,5
98,3922,5
98,3923,5
98,3924,5
98,3928,10
98,3929,10
98,3938,10
98,3953,2
98,4500,10
98,4501,10
98,4556,4
98,4558,26
98,4638,1
98,4639,1
98,4670,1
98,4698,9
98,4797,8
98,4929,13
98,4930,4
98,4993,5
98,5090,7
98,5516,7
98,5822,2
98,5876,8
98,5877,10
98,5880,10
98,6111,11
98,6121,5
98,6122,5
98,6157,16
98,6232,2
98,6299,2
98,6338,3
98,6358,5
98,6444,4
98,6515,8
98,6522,5
98,6735,4
98,6813,1
98,7016,10
98,7292,10
98,7301,5
98,7369,9
98,7502,1
98,7511,26
98,7637,8
98,7765,8
98,7932,10
98,7934,10
98,8435,1
98,8495,16
98,8496,10
98,8508,4
98,8743,5
98,8774,16
98,8784,7
98,8823,6
98,8866,5
98,9155,7
98,9157,29
98,9366,9
98,9372,9
98,9379,3
98,9388,3
98,9580,16
98,9581,16
98,9615,4
98,9616,4
98,9617,4
98,9666,10
98,9667,3
98,9676,10
98,9735,2
98,9736,3
98,9737,3
98,9738,3
98,9743,4
98,9787,6
98,9850,8
98,9851,8
98,9852,8
98,9937,5
98,9977,9
98,9978,9
98,9979,9
98,9980,9
98,9981,9
98,9982,5
98,9983,5
98,10027,11
98,10472,17
98,10608,11
98,10615,18
98,10626,1
98,10632,5
98,10694,4
98,10741,7
98,10761,9
98,10763,9
98,10859,3
98,10863,5
98,10917,3
98,10935,4
98,10988,17
98,11035,5
98,11036,5
98,11037,5
98,11155,2
98,11182,1
98,11414,5
98,12014,3
98,12159,10
98,12164,10
98,12281,16
98,12336,4
98,12340,10
98,12409,6
98,12446,15
98,13169,2
98,15845,4
98,15846,4
98,16401,2
98,16451,6
98,16461,26
98,16493,2
98,16840,20
98,16975,16
98,17430,15
98,18736,8
98,19277,10
98,19717,17
98,19863,11
98,20321,10
98,23336,17
98,23338,17
98,23964,10
98,24140,10
98,24141,3
105,125,4
105,222,6
105,226,8
105,241,7
105,249,8
105,251,2
105,301,5
105,302,5
105,305,7
105,355,17
105,401,12
105,407,3
105,417,3
105,419,3
105,421,4
105,422,2
105,459,10
105,500,3
105,539,1
105,551,6
105,561,4
105,569,7
105,610,6
105,628,5
105,671,84
105,689,6
105,692,6
105,697,1
105,698,3
105,712,16
105,713,4
105,715,11
105,719,6
105,758,3
105,857,2
105,879,2
105,957,6
105,1078,3
105,1079,1
105,1082,4
105,1083,2
105,1086,6
105,1170,10
105,1171,10
105,1243,12
105,1246,2
105,1247,2
105,1405,1
105,1433,8
105,1467,12
105,1503,16
105,1504,4
105,1505,1
105,1548,10
105,1575,1
105,1576,3
105,1583,1
105,1584,1
105,1590,3
105,1643,4
105,1644,4
105,1646,14
105,1664,3
105,1670,1
105,1722,12
105,1729,5
105,1760,6
105,1761,3
105,1770,11
105,1795,1
105,1798,2
105,1849,2
105,1851,3
105,1881,3
105,1885,13
105,1946,1
105,1998,14
105,2042,3
105,2052,6
